FechaVenta,CodigoProducto,Producto,Cantidad,PrecioVenta,CodigoCliente,Cliente,CodigoTienda,Tienda
2024-03-02,15,Secadora de Ropa 8kg,3,1130.01,3,Initech,10,ElectroShop California
2024-03-23,19,Soundbar 2.1 Canales,2,1072.88,2,Globex Corporation,7,Tienda Express
2024-04-14,14,refrigerador simple puerta,2,800.0,8,Dunder Mifflin,16,Online Electronics
2024-04-14,20,"Televisor LED 43"" 4K UHD",4,2000.84,29,Jones-Carter,5,Tienda Premium
2024-03-04,16,Amplificador de Audio,3,882.33,17,Williams Ltd,13,ElectroShop Norte
2024-03-04,16,Amplificador de Audio,4,1176.44,6,Stark Industries,9,Tienda Online Plus
2024-03-16,25,Auriculares con Cancelación de Ruido,1,393.14,20,Armstrong-Rice,30,ElectroShop Online Plus
2024-04-26,22,Consola de Videojuegos,1,455.51,5,Weyland-Yutani,24,ElectroShop Online Plus
2024-03-12,19,Soundbar 2.1 Canales,1,536.44,9,Pied Piper,5,Tienda Premium
2024-04-15,6,licuadora 600w,2,140.0,25,Scott-Johnson,3,Outlet Norte
2024-04-30,19,Soundbar 2.1 Canales,2,1072.88,8,Dunder Mifflin,13,ElectroShop Norte
2024-03-06,28,Micrófono USB para Streaming,1,303.66,19,Clark LLC,3,Outlet Norte
2024-03-09,24,Auriculares Inalámbricos Bluetooth,1,462.49,23,"Perkins, Mayo and Richards",1,ElectroShop Online
2024-04-14,23,Cámara Digital 20MP,5,1281.1,4,Umbrella Corp,2,Tienda Central
2024-04-26,4,microondas 20l,3,300.0,20,Armstrong-Rice,7,Tienda Express
2024-03-26,2,lavadora 8kg,1,450.0,5,Weyland-Yutani,6,ElectroShop Oeste
2024-03-08,7,home theater 5.1,2,400.0,2,Globex Corporation,8,ElectroShop Este
2024-03-20,15,Secadora de Ropa 8kg,3,1130.01,18,Thompson-Payne,19,Tienda Boston Center
2024-03-27,5,aspiradora sin bolsa,4,1000.0,18,Thompson-Payne,17,Electronics Austin
2024-04-14,5,aspiradora sin bolsa,4,1000.0,3,Initech,1,ElectroShop Online
2024-04-09,20,"Televisor LED 43"" 4K UHD",1,500.21,24,Horton Inc,6,ElectroShop Oeste
2024-03-13,19,Soundbar 2.1 Canales,2,1072.88,27,Phelps PLC,24,ElectroShop Online Plus
2024-04-25,20,"Televisor LED 43"" 4K UHD",3,1500.63,8,Dunder Mifflin,4,ElectroShop Sur
2024-03-16,22,Consola de Videojuegos,5,2277.55,8,Dunder Mifflin,6,ElectroShop Oeste
2024-04-23,6,licuadora 600w,1,70.0,3,Initech,20,TechStore Columbus
2024-03-11,1,"televisor led 55""",1,500.0,22,Crosby-Robinson,4,ElectroShop Sur
